round,score,coins,crates,bombs,suicides,survived,invalid,steps,td_abs,w_norm,max_abs_q
100,0.0,0.0,0.24,0.12,0.08,0.92,0.0,384.37,0.0032278076571303745,0.48244917805374055,0.5
200,0.05,0.05,0.36,0.13,0.01,0.99,0.0,397.1,0.0011419810071900242,0.46176324031756366,0.48935833756640196
300,0.03,0.03,1.04,0.41,0.0,1.0,0.0,400.0,0.0008937342082269204,0.45956003702407217,0.4520674488026939
400,4.43,4.43,66.63,43.27,0.1,0.9,0.0,367.2,0.035607981391860534,0.44192290455237077,0.5740080796335417
