round,score,coins,crates,bombs,suicides,survived,invalid,steps,td_abs,w_norm,max_abs_q
100,0.0,0.0,0.16,0.07,0.06,0.94,0.0,382.06,0.002391501071216145,0.4755106017166584,0.5
200,0.0,0.0,0.01,0.01,0.0,1.0,0.0,400.0,0.00022123658862402952,0.4749308784576186,0.4327939547220995
300,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,0.0003773801128205483,0.47468703769384113,0.4296327755913389
400,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,0.0009302699694689089,0.4739856302934231,0.42271192387354084
