round,score,coins,crates,bombs,suicides,survived,invalid,steps,td_abs,w_norm,max_abs_q
100,5.78,5.78,81.14,52.81,0.04,0.96,0.0,392.04,0.02723421557185277,0.46623589480340033,0.6062462554184592
200,6.65,6.65,92.51,49.98,0.04,0.96,0.0,390.24,0.02529216397664808,0.47065014171320263,0.6721732984534147
300,6.74,6.74,94.15,49.18,0.02,0.98,0.0,395.91,0.024512611037425584,0.47698742178420245,0.6410476104249745
100,6.85,6.85,94.2,51.81,0.0,1.0,0.0,400.0,0.02560440159801725,0.47645470694788356,0.3132913368850781
200,6.96,6.96,94.89,51.52,0.0,1.0,0.0,400.0,0.02594252552721232,0.47317888642840766,0.3298545533785174
300,6.58,6.58,90.22,50.74,0.01,0.99,0.0,397.34,0.025092713181528933,0.47366438920856113,0.5296523119259859
400,6.77,6.77,92.97,50.6,0.01,0.99,0.0,396.47,0.02501339781164364,0.47566244412069697,0.6769640311045891
500,6.38,6.38,89.73,51.11,0.01,0.99,0.0,399.82,0.025573627729988842,0.47771687494884024,0.6624595272468261
