round,score,coins,crates,bombs,suicides,survived,invalid,steps,td_abs,w_norm,max_abs_q
25,0.0,0.0,0.92,0.44,0.44,0.56,0.0,262.6,0.019568658711513635,0.4829997187185415,0.5667806122965511
50,0.04,0.04,1.6,0.72,0.08,0.92,0.0,379.04,0.005522175405774251,0.4717532759262572,0.4780308277095966
75,0.08,0.08,1.28,0.48,0.0,1.0,0.0,400.0,0.002433861058950259,0.46918882754926056,0.46607642856344156
100,0.12,0.12,3.36,1.36,0.04,0.96,0.0,392.32,0.0035937849180461934,0.4615867730756879,0.4823371906717823
125,2.88,2.88,44.44,24.56,0.08,0.92,0.0,368.4,0.04033633606562893,0.45758789210844664,0.4972592949799606
150,3.2,3.2,46.48,34.28,0.4,0.6,0.0,242.0,0.055593591459851786,0.47752497858392884,0.6644884674636209
175,6.04,6.04,79.24,56.92,0.0,1.0,0.0,400.0,0.036154328666258784,0.46779416207214886,0.40924760714915864
200,6.32,6.32,87.96,56.84,0.04,0.96,0.0,399.44,0.030825779559784532,0.46180320170177697,0.49715982586385976
225,6.0,6.0,88.08,54.84,0.04,0.96,0.0,384.8,0.027307155605182685,0.468901457006882,0.4413406099913688
250,5.8,5.8,85.28,56.96,0.0,1.0,0.0,400.0,0.023622843029484326,0.4706437331238655,0.3398061385917243
275,6.04,6.04,86.4,54.12,0.08,0.92,0.0,382.0,0.025973396136464273,0.4724410568402879,0.4767660360055206
300,6.96,6.96,93.36,54.84,0.0,1.0,0.0,400.0,0.025210855942974977,0.46288653777703315,0.2948858403986975
325,6.24,6.24,88.64,52.36,0.04,0.96,0.0,386.2,0.024225372426342928,0.46083395196031024,0.4080469784741671
350,5.64,5.64,79.88,52.36,0.04,0.96,0.0,386.44,0.02534155042248057,0.46647159484696965,0.4884445802306113
375,6.72,6.72,90.32,51.56,0.0,1.0,0.0,400.0,0.02553775035397112,0.46187520766685375,0.2959308159550703
400,5.88,5.88,81.16,52.96,0.04,0.96,0.0,392.56,0.026225234404134032,0.4597000910662697,0.503858168108478
425,6.88,6.88,83.84,50.2,0.0,1.0,0.0,400.0,0.02697338046889738,0.4689724299150272,0.3148232115394569
450,6.52,6.52,88.44,53.12,0.04,0.96,0.0,396.16,0.027237668206620075,0.4642490010255957,0.5205418876554084
475,6.52,6.52,84.28,49.2,0.12,0.88,0.0,372.68,0.027163449675671032,0.46641665102406576,0.553796715656936
500,6.24,6.24,85.52,50.88,0.0,1.0,0.0,400.0,0.024457675643730827,0.47012310419089404,0.31632754694036636
525,6.6,6.6,89.8,51.08,0.0,1.0,0.0,400.0,0.02547916330028081,0.4668905661167153,0.3030405380128064
550,5.84,5.84,86.08,52.04,0.0,1.0,0.0,400.0,0.025987206674037668,0.4711938051606621,0.2979104291795511
575,5.92,5.92,84.4,53.2,0.0,1.0,0.0,400.0,0.02616916636018631,0.47189044409015235,0.30096621372488996
600,6.52,6.52,87.96,50.88,0.0,1.0,0.0,400.0,0.026041790224130352,0.4727255740333271,0.30811798018556247
625,5.6,5.6,82.16,52.72,0.04,0.96,0.0,390.8,0.025876551260915502,0.47365268719687703,0.5123648442379992
650,6.36,6.36,88.84,51.04,0.0,1.0,0.0,400.0,0.025382351878384394,0.474772572721288,0.30370137394461366
675,6.56,6.56,90.84,50.52,0.0,1.0,0.0,400.0,0.025988110816228233,0.4739997750389927,0.3116599564601099
700,6.52,6.52,93.04,50.68,0.04,0.96,0.0,391.84,0.02621842278157101,0.47821825230427045,0.5173211044281101
725,5.92,5.92,82.8,52.76,0.04,0.96,0.0,388.68,0.027474976840399127,0.47892440177329104,0.5252750477317235
750,6.84,6.84,94.32,53.44,0.0,1.0,0.0,400.0,0.026503087176508074,0.47762196050639594,0.2952145323106034
775,6.8,6.8,93.8,49.88,0.04,0.96,0.0,399.4,0.026528731552843483,0.48441473810767044,0.5350488878979073
800,6.6,6.6,95.72,52.52,0.0,1.0,0.0,400.0,0.028550978235872423,0.4843052431804849,0.33741833150277345
